sentimen,tweet,tweet_clean
positif,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,prabowo sejak jadi tni puluh tahun nggak dia ambil gaji rupiah pun sandi sejak jadi wagub jg demikian susah ya cari orang seperti mereka yang gak ambil gaji dari hasil mereka kerja untuk negara
netral,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦,assalamu alaikum saya tahu 1 suara itu sgt harga dlm upaya menang 02 prabowo sandiuno saya hrs rela suara karena ada di jkt namun ktp daerah moga suara saya yg tdk serta bisa balas dgn doa moga allah swt kabul itu aamiin ya rabb
negatif,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  -  Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦",jika pilih prabowo sandiaga janji tak ambil gaji kita tahu mereka orang orang yang superkaya mbok ya rendah hati jangan nyata kata2 konotasi angkuh echobox 1555171378
negatif,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In,prabowo apa bapak gak harga rawan yg puasa dan tirakat munajad malam suntuk doa untuk menang 02 mhn balas tweet dan kontribusi ngopi rokok dll mereka yg tirakat mujahadah jika tdk maka 02 akan gagal ayo semua tirakat munajad in
positif,Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi,prabowo sandi menang otomatis kita ikut sedekah bagi kaum farkir miskin dan dhuafa lalu gaji mereka berfua yg tidak akan ambil dan akan sedekah 17 april tusuk prabowo sandi
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦,pilih orang baik pilih jelas islam pilih baju putih percaya hanya beri pd mrk yg alam orang jokowi milik wakil yg alam bidang ekonomi coblos yuk 01 ya
negatif,"UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***",ummat islam yg waras dan cerdas pasti senang amal coblos prabowo anda ikut andil dlm amal gaji beliau tdk ambil tp untk amal
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦",pilih orang baik pilih jelas islam pilih baju putih hasil tidak hanya bidang infrastruktur jokowi jg hasil baik ekonomi indonesia coblos yuk 01 ya
negatif,"Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno",model ngeles truk sudah ketaker ber busa2 depan sandi ngomongin ekonomi makro dg congkak untung sandi nya sabar gak di kick balik pantesan menteri2nya yg pintar2 pada mbodoni lha juragan kyk gin pek k nya uasdifitnah keji balas di tps prabowo sandiuno
positif,"Dengan memilih 02 kita sudah bersodakoh,  karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI  #SAVE_UAS",dengan pilih 02 kita sudah bersodakoh karna prabowo sandi sumbang gaji mereka untuk negara fakir miskin yatim piatu masjid jadi prabowo sandi presiden dan wakil presiden ri save uas
positif,Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur,alhamdulillah capres 02 mau sedekah gaji untuk rakyat miskin sini kami korban2 gempa2 pasigala butuh bantu pak prabowo sandiuno karniilyas rockygerung prabowo sandi 02 menang adil makmur
netral,"No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS",no 5 donk mang dan sayah percaya semua saudara juang 02 ikhlas hanya ingin negeri ini ubah jauh lebik baik lg dari sekarang masyarakat damai tenang aman sejahtera tingkat harga2 rendah stabil uasdifitnah keji balas di tps uasdifitnah keji balas di tps
negatif,@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut,divhumas polri gakan di ladenin sama pak pulisi karna pak pulisi di gaji sama jokowi pake duit jokowi buka sama rakyat lapor nya nanti aja tunggu udah ganti presiden uasdifitnah keji dan brutal uasdifitnah keji dan brutal uasdifitnah keji dan brut
negatif,"baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. TOLOL DIPELIHARA, DASAR EBONG  https://twitter.com/AkunTofa/status/1117528741809229824Â â€¦",bagus dukung jokowi tebang pohon bkn dg golok gergaji tapi dg ranting pohon itu sendiri jadi elektabilitas jokowi nyungseb bkn oleh lawan politik tapi oleh dukung dari dalam sendiri tolol pelihara dasar ebong
positif,"Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ ",memang tidak bisa kita hendak harga cabai sampai rp 10 000 harga bawang sampai rp 5 000 tani yang kasihan kata jokowi 2019 jokowi kyai maruf 1 periode lagi untuk jokowi pesona bono surfing
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com,presiden jokowi dan raja salman sepakat tingkat kerjasama ekonomi via apahabar com
negatif,02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu Prabowo bahlull,02 kelar hidup bisa cuma harga mahal turun solusi 0 kubu prabowo bahlull
positif,Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube,tak akan terima gaji sbg presiden dan wapres akan sumbang ke negara dan fakir miskin pertama dlm sejarah bangsa indonesia debat pilpres nyata tutup prabowo sandiaga uno lewat youtube
positif,"Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar.",kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga dukung untuk tidak lewat sana tp ini pakai pajak dr semua warga negara dan tiap lewat pun harus bayar
positif,"#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",pilih orang baik pilih yg jelas islam pilih yg baju putih ada beberapa harga yg anugerah kepada jadi bukti bahwa jokowi adalah sosok pimpin yg aku integritas
positif,"Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",satu sama jokowi kma pilih orang baik pilih jelas islam pilih baju putih bagai capai telah hasil capai khusus tumbuh ekonomi di era perintah jokowi jk sangat jauh tingkat
netral,Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci,orang luar negeri sangat harga prestasi yg sudah laku jokowi tetapi negara sendiri banyak yg caci
netral,"Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal",maaf pak rakyat tdk butuh peluk rakyat butuh harga sembako murah listrik tarif turun butuh lap kerja bukan janji2 saja uasdifitnah keji dan brutal
netral,"#GameofThrones Winter is coming Pidato Jokowi di IMF Bank Dunia  Ibaratkan Ekonomi Dunia seperti Game Of Thrones  Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™  http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ #2019TetapJokowi pic.twitter.com/B8bZPjbFFi",gameof thrones winter is coming pidato jokowi di imf bank dunia ibarat ekonomi dunia seperti game of thrones game of throne presiden jokowi penting kuat sama untuk kalah evil winter 2019 tetap jokowi
positif,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l",vidiaamanda3 17 april pilih jokowi kma pilih orang baik pilih jelas islam pilih baju putih dulu sekadar ada tumbuh ekonomi tanpa rata namun di zaman pak jokowi bukan hanya tumbuh ekonomi tapi juga rata bangun
netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi   http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ #01OptimisIndonesiaMaju pic.twitter.com/Gudihikymw,jokowi dan raja salman sepakat tingkat kerja sama ekonomi 01 optimis indonesia maju
negatif,#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian,uahuasuahuas meski aku di surga mungkin aku tak bahagia bahagia tak sempurna bila itu tanpa gandeng tangan prabowo baru jadi ustad sudah yakin masuk surga ckckckck salah milih guru ngaji gue 2019 ganti kaji
negatif,"Buat anggota @KPU_ID anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. Gede bacot minim torehan prestasi.  cc @jokowi",buat anggota kpu id anda tdk layak gaji baik rasa malu utama daripada isi perut gede bacot minim toreh prestasi cc jokowi
netral,"Gasah mengejek program pa jokowi , karena program ini jg tdk asal ,pasti sdh dipikirkan mateng ,seperti program kis dulu ....mari kita hargai jgn saling menghujat .",gasah ejek program pa jokowi karena program ini jg tdk asal pasti sdh pikir mateng seperti program kis dulu mari kita harga jgn saling hujat
netral,Monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...,monggo silah itu hak anda harga juga kami yg ingin ubah lebih baik
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.   https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",pilih orang baik pilih jelas islam pilih baju putih beberapa harga yg anugerah kepada jadi bukti bahwa jokowi adalah sosok pimpin yg aku integritas
negatif,"He, he, he, sok bijak nih antek ORBA! Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi, ada Jenderal SBY! Gimana demokrat ngga beralih dukungan ke Jokowi coba?",he he he sok bijak nih antek orba pikir letjen pecat yang bilang biang kerok ekonomi indonesia adalah presiden belum jokowi ada jenderal sby gimana demokrat ngga alih dukung ke jokowi coba
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @metrobali,presiden jokowi dan raja salman sepakat tingkat kerja sama ekonomi via metrobali
netral,"gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",gue kasih tau beberapa harga yg anugerah kepada jadi bukti bahwa jokowi adalah sosok pimpin yg aku integritas pilih orang baik pilih jelas islam pilih baju putih
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://www.balinetizen.com/2019/04/14/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @Bali Netizen,presiden jokowi dan raja salman sepakat tingkat kerja sama ekonomi via bal netizen
positif,"Dalam penjelasannya Kyai @KHMarufAmin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia, membangun ekonomi dri bawah.   https://bit.ly/2Zbe65vÂ  #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih",dalam jelas kyai khmarufamin mau jadi cawapres karna jokowi punya komitmen kait ekonomi umat dgn apa yg sebut bagai arus baru ekonomi indonesia bangun ekonomi dri bawah pilih orang baik pilih yg jelas islam pilih yg baju putih
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.  https://bit.ly/2IpbIDdÂ ",pilih orang baik pilih jelas islam pilih baju putih menteri aja prestasi apalagi pimpin bisa kata era jokowi lah mana jumlah menteri banyak raih harga
negatif,#PopulerB1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ ,populer b1 4 jokowi naik tax ratio drastis bisa guncang ekonomi
positif,"Lalu berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",lalu bagai capai telah hasil capai khusus tumbuh ekonomi di era perintah jokowi jk sangat jauh tingkat pilih orang baik pilih yg jelas islam pilih yg baju putih
negatif,"Disitu pak jokowi hanya membahas game online bagi pemain profesional, bahkan sekarang udah ada piala presiden Mobile legend, dan hadiahnya sangat besar. Jika kita mau bersaing didunia online seperti game, ekonomi kita juga akan naik.",situ pak jokowi hanya bahas game online bagi main profesional bahkan sekarang udah ada piala presiden mobile legend dan hadiah sangat besar jika kita mau saing dunia online seperti game ekonomi kita juga akan naik
positif,"@Jokowi @KHMarufAmin_ 17 April Pilih Jokowi-KMA. Pada ngerti kan kalo Pak Jokowi belajar ngaji sejak sebelum jadi pejabat. Murni mendalami agama, tanpa unsur pencitraan. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih",jokowi khmarufamin 17 april pilih jokowi kma pada ngerti kan kalo pak jokowi ajar ngaji sejak belum jadi jabat murni dalam agama tanpa unsur citra pilih orang baik pilih jelas islam pilih baju putih
positif,#Repost from sandiuno (repost_media_app)  Prabowo-Sandi tidak ingin gagal fokus. Kita ingin pembangunan besar-besaran ini berdampak langsung pada ekonomi dan kesejahteraanâ€¦  https://www.instagram.com/fely_irzahn/p/BwQN4Ubgziz/?utm_source=ig_twitter_share&igshid=4xvs93h4zmduÂ â€¦,repost from sandiuno repost media app prabowo sandi tidak ingin gagal fokus kita ingin bangun besar besar ini dampak langsung pada ekonomi dan sejahtera
negatif,Alasan Prabowo-Sandi Tak Terima Gaji Jika Menang: Negara Sedang Susah  https://kumparan.com/@kumparannews/alasan-prabowo-sandi-tak-terima-gaji-jika-menang-negara-sedang-susah-1qsiM359eYk?utm_medium=post&utm_source=Facebook&utm_campaign=intÂ â€¦,alas prabowo sandi tak terima gaji jika menang negara sedang susah
negatif,"He, he, he, pikirkan Letjen pecatan yang bilang biang kerok ekonomi presiden2 sebelum Jokowi ada Jenderal SBY ada Jenderal Soeharto yg bintang nya sampe lima, dungu!",he he he pikir letjen pecat yang bilang biang kerok ekonomi presiden2 belum jokowi ada jenderal sby ada jenderal soeharto yg bintang nya sampe lima dungu
netral,"Jokowi menambahkan, capaian pertumbuhan itu perlu disyukuri karena Indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105782861150314496/photo/1 pic.twitter.com/y4PFLSTk8lÂ ",jokowi tambah capai tumbuh itu perlu syukur karena indonesia tetap tumbuh meski kondisi ekonomi global sedang gejolak 2019 jokowi kyai maruf
positif,"Janji Tak Ambil Gaji Jika Menang Pilpres, Prabowo: Bukti Kita Tulus  https://news.detik.com/berita/d-4509660/janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus?utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Facebook#Echobox=1555173787Â â€¦",janji tak ambil gaji jika menang pilpres prabowo bukti kita tulus echobox 1555173787
negatif,"Terus lah bersuara minta keadilan. 1 suara begitu berarti.  @KPU_ID  kerja yang benar,jangan makan gaji buta. Jangan curang.",terus lah suara minta adil 1 suara begitu arti kpu id kerja yang benar jangan makan gaji buta jangan curang
negatif,Jelas Jokowi lah. Prabowo dan Sandi pecicilan. Selalu pesimis tanpa jalan keluar jelas. Ekonomi Makro dan Mikro saja tak tau,jelas jokowi lah prabowo dan sandi pecicilan selalu pesimis tanpa jalan keluar jelas ekonomi makro dan mikro saja tak tau
positif,"gue kasih tau..Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.Â  https://bit.ly/2IpbIDdÂ Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",gue kasih tau menteri aja prestasi apalagi pimpin bisa kata era jokowi lah mana jumlah menteri banyak raih harga pilih orang baik pilih jelas islam pilih baju putih
netral,Berita terbaru (Prabowo: Saya Tak Ingin Naikkan Pajak 16 Persen dalam Setahun) telah ada di  http://PILPRES.idÂ  -  https://pilpres.id/info/prabowo-saya-tak-ingin-naikkan-pajak-16-persen-dalam-setahun.htmlÂ â€¦ pic.twitter.com/8o7biqQ0gn,berita baru prabowo saya tak ingin naik pajak 16 persen dalam tahun telah ada di
